Dykker,Skaller (kg),BMS (g),Total (g),Station,Ring area,Skrab,Total fangst (kg),Total (kg),BMS (kg),BMS (kg),Area
1,,1.3,1.9,A,0.28,1,65.1,9.3,6.75,47.3,105
2,,,1.125,A,0.28,2,72.1,3.4,2.65,56.2,110
3,,0.52,0.875,A,0.28,,,,,,
4,,,0.6,A,0.28,,,,,,
5,,0.52,1.15,A,0.28,,,,,,
6,,,1.45,A,0.28,,,,,,
7,,0.25,0.775,A,0.28,,,,,,
8,,,0.275,A,0.28,,,,,,
9,,,0.65,A,0.28,,,,,,
10,,,0,A,0.28,,,,,,
1,,0.21,0.3,B,0.28,1,14,2.6,1.1,5.9,105
2,,,0.45,B,0.28,2,18,2.9,1.55,9.6,110
3,,,0.8,B,0.28,,,,,,
4,,,0.025,B,0.28,,,,,,
5,,,0,B,0.28,,,,,,
6,,,0,B,0.28,,,,,,
7,,1,2.5,B,0.28,,,,,,
8,,,2.8,B,0.28,,,,,,
9,,0.31,1.15,B,0.28,,,,,,
10,,,2.2,B,0.28,,,,,,
11,,0.6,1.85,B,0.28,,,,,,
12,,,2.5,B,0.28,,,,,,
13,,,1.5,B,0.28,,,,,,
14,,0.6,1.9,B,0.28,,,,,,
15,,,0.0,B,0.28,,,,,,
16,,,0.0,B,0.28,,,,,,
17,,,0.0,B,0.28,,,,,,
18,,,0.0,B,0.28,,,,,,
19,,,0.0,B,0.28,,,,,,
20,,,0.0,B,0.28,,,,,,
1,,0.27,0.0,C,0.28,1,14,2.6,1.1,5.9,105
2,,,1.8,C,0.28,2,18,2.9,1.55,9.6,110
3,,,3.7,C,0.28,,,,,,
4,,,0.1,C,0.28,,,,,,
5,,0.93,1.9,C,0.28,,,,,,
6,,,2.2,C,0.28,,,,,,
7,,,0.0,C,0.28,,,,,,
8,,,0.0,C,0.28,,,,,,
9,,,0.0,C,0.28,,,,,,
10,,0.63,2.4,C,0.28,,,,,,
11,,0.21,1.3,C,0.28,,,,,,
12,,,0.4,C,0.28,,,,,,
13,,,0.0,C,0.28,,,,,,
14,,,0.0,C,0.28,,,,,,
15,,0,1.0,C,0.28,,,,,,
16,,,1.2,C,0.28,,,,,,
17,,,0.0,C,0.28,,,,,,
18,,,0.0,C,0.28,,,,,,
19,,,0.6,C,0.28,,,,,,
20,,,0.7,C,0.28,,,,,,
1,,,0.450,D,0.28,1,68.5,2.85,1.2,28.8,100
2,,,1.000,D,0.28,2,81,2.95,1.15,31.6,100
3,,0.14,0.250,D,0.28,,,,,,
4,,,2.500,D,0.28,,,,,,
5,,,1.250,D,0.28,,,,,,
6,,0.37,2.400,D,0.28,,,,,,
7,,,3.800,D,0.28,,,,,,
8,,,0.000,D,0.28,,,,,,
9,,0.48,2.950,D,0.28,,,,,,
10,,,1.600,D,0.28,,,,,,
11,,,2.750,D,0.28,,,,,,
12,,,0.000,D,0.28,,,,,,
13,,0.5,2.400,D,0.28,,,,,,
14,,,0.125,D,0.28,,,,,,
15,,,0.000,D,0.28,,,,,,
16,,0.01,0.025,D,0.28,,,,,,
17,,,0.775,D,0.28,,,,,,
18,,,0.775,D,0.28,,,,,,
19,,,2.400,D,0.28,,,,,,
20,,0,1.350,D,0.28,,,,,,
